Metric,Before,After
Total Rows,630,612
Missing Customer_Email (before),50,0
Missing Customer_Email (after),0,0
Missing Province (before),12,0
Missing Province (after),0,0
Exact Duplicates (before),18,0
Exact Duplicates (after),0,0
Invalid Order_Date (not_a_date/parse_failed),2,0
Order_Date Imputed,7,0
Invalid Quantity (out of 1-20),3,3
Mismatched Amounts (>1 THB diff),50,50
Invalid Order_Status,5,5
Outliers Detected (IQR),25,0
Outliers Capped (non-promo only),19,0
Late Loads (>24h),38,38
Promotion Rows Preserved,27,27
