order_id,source_batch,reason_code
O000027,orders_batch_1,MISSING_OR_INACTIVE_PRODUCT
O000054,orders_batch_1,MISSING_OR_INACTIVE_PRODUCT
O000058,orders_batch_1,MISSING_OR_INACTIVE_PRODUCT
O000075,orders_batch_1,MISSING_OR_INACTIVE_PRODUCT
O000083,orders_batch_1,MISSING_CUSTOMER
O000089,orders_batch_1,INVALID_QUANTITY
O000097,orders_batch_1,INVALID_DATE
O000101,orders_batch_1,INVALID_DISCOUNT
O000107,orders_batch_1,MISSING_OR_INACTIVE_PRODUCT
O000111,orders_batch_1,MISSING_OR_INACTIVE_PRODUCT
O000113,orders_batch_1,INVALID_QUANTITY
O000127,orders_batch_1,INVALID_PRICE
O000131,orders_batch_1,INVALID_DATE
O000139,orders_batch_1,INVALID_PRICE
O000149,orders_batch_1,MISSING_CUSTOMER
O000166,orders_batch_1,MISSING_CUSTOMER
O000178,orders_batch_1,INVALID_QUANTITY
O000194,orders_batch_1,INVALID_DATE
O000202,orders_batch_1,INVALID_DISCOUNT
O000214,orders_batch_1,MISSING_OR_INACTIVE_PRODUCT
O000226,orders_batch_1,INVALID_QUANTITY; MISSING_OR_INACTIVE_PRODUCT
O000249,orders_batch_1,MISSING_CUSTOMER
O000254,orders_batch_1,INVALID_PRICE
O000258,orders_batch_1,MISSING_OR_INACTIVE_PRODUCT
O000262,orders_batch_1,INVALID_DATE
O000267,orders_batch_1,INVALID_QUANTITY
O000278,orders_batch_1,INVALID_PRICE
O000284,orders_batch_1,MISSING_OR_INACTIVE_PRODUCT
O000291,orders_batch_1,INVALID_DATE
O000298,orders_batch_1,MISSING_CUSTOMER
O000303,orders_batch_1,INVALID_DISCOUNT
O000318,orders_batch_1,MISSING_OR_INACTIVE_PRODUCT
O000321,orders_batch_1,MISSING_OR_INACTIVE_PRODUCT
O000332,orders_batch_1,MISSING_CUSTOMER; MISSING_OR_INACTIVE_PRODUCT
O000339,orders_batch_1,INVALID_QUANTITY
O000342,orders_batch_1,MISSING_OR_INACTIVE_PRODUCT
O000350,orders_batch_1,MISSING_OR_INACTIVE_PRODUCT
O000356,orders_batch_1,INVALID_QUANTITY
O000371,orders_batch_1,MISSING_OR_INACTIVE_PRODUCT
O000376,orders_batch_1,MISSING_OR_INACTIVE_PRODUCT
O000381,orders_batch_1,INVALID_PRICE
O000388,orders_batch_1,INVALID_DATE
O000393,orders_batch_1,INVALID_DATE
O000404,orders_batch_1,INVALID_DISCOUNT
O000412,orders_batch_1,MISSING_OR_INACTIVE_PRODUCT
O000415,orders_batch_1,MISSING_CUSTOMER
O000417,orders_batch_1,INVALID_PRICE
